Open,High,Low,Close,Volume,Change
456.86,456.86,413.1,424.44,34483200,-7.19
424.1,427.83,384.53,394.8,37919700,-6.98
394.67,423.3,389.88,408.9,36863600,3.57
408.08,412.43,393.18,398.82,26580100,-2.47
399.1,406.92,397.13,402.15,24127600,0.83
402.09,441.56,396.2,435.79,45099500,8.37
435.75,436.11,421.13,423.2,30627700,-2.89
423.16,423.52,409.47,411.57,26814400,-2.75
411.43,414.94,400.01,404.42,21460800,-1.74
403.56,406.62,397.37,399.52,15029300,-1.21
399.47,401.02,374.33,377.18,23613300,-5.59
376.93,385.21,372.24,375.47,32497700,-0.45
376.09,390.98,373.44,386.94,34707300,3.05
387.43,391.38,380.78,383.61,26229400,-0.86
383.99,385.5,372.95,375.07,21777700,-2.23
375.18,377.7,357.86,359.51,30901200,-4.15
359.89,364.49,325.89,328.87,47236500,-8.52
328.92,341.8,289.3,320.51,83308096,-2.54
320.39,345.13,302.56,330.08,79011800,2.99
330.58,339.25,320.48,336.19,49199900,1.85
336.12,354.36,327.19,352.94,54736300,4.98
352.75,382.73,347.69,365.03,83641104,3.43
364.69,375.07,352.96,361.56,43665700,-0.95
361.36,367.19,355.95,362.3,13345200,0.2
362.61,379.43,356.14,378.55,17552800,4.49
377.92,397.23,368.9,390.41,35221400,3.13
391.69,411.7,391.32,400.87,38491500,2.68
400.95,402.23,388.77,394.77,25267100,-1.52
394.52,398.81,373.07,382.56,26990000,-3.09
382.76,385.48,375.39,383.76,13600700,0.31
383.98,395.16,378.97,391.44,11416800,2.0
391.25,393.94,386.46,389.55,5914570,-0.48
389.23,390.08,378.25,382.85,16419000,-1.72
382.42,392.65,380.83,386.48,14188900,0.95
386.12,388.58,382.25,383.16,11641300,-0.86
382.96,385.05,356.45,358.42,26456900,-6.46
358.59,364.35,353.3,358.35,15585700,-0.02
358.61,359.86,342.88,347.27,18127500,-3.09
347.49,359.22,343.93,354.7,11272500,2.14
354.78,358.63,349.81,352.99,13033000,-0.48
353.21,359.98,352.68,357.62,7845880,1.31
357.09,357.83,335.34,335.59,18192700,-6.16
335.71,350.91,335.07,345.3,30177900,2.89
345.01,348.05,337.14,338.32,12545400,-2.02
338.65,340.53,321.05,325.75,16677200,-3.72
326.08,329.05,320.63,325.89,8603620,0.04
325.57,334.0,325.48,327.55,12948500,0.51
327.16,331.77,325.08,330.49,15655500,0.9
330.68,343.37,330.68,339.49,19817200,2.72
339.46,352.97,338.42,349.29,18797000,2.89
349.82,352.73,341.78,342.42,16834200,-1.97
342.15,347.03,342.15,345.49,8535470,0.9
345.38,363.63,344.26,363.26,24205600,5.14
362.27,374.82,357.56,366.92,30450100,1.01
365.86,371.31,363.73,367.7,15838900,0.21
367.98,429.72,367.98,423.56,45783200,15.19
427.27,457.09,401.12,420.73,58945000,-0.67
418.42,419.25,384.79,397.82,29589200,-5.45
399.65,405.53,371.01,376.13,15727500,-5.45
374.73,390.8,374.6,387.88,11905600,3.12
388.35,410.2,377.5,387.41,41518800,-0.12
387.79,392.4,371.12,375.2,32222500,-3.15
373.9,386.48,373.9,380.55,18931800,1.43
380.31,382.02,356.78,357.84,25233200,-5.97
357.88,357.88,344.11,350.85,29850100,-1.95
351.6,364.84,350.88,352.92,15273000,0.59
353.17,370.85,353.17,367.57,15151600,4.15
366.95,387.21,366.67,376.9,30930100,2.54
376.89,394.7,374.78,375.35,25442200,-0.41
376.02,377.7,365.82,368.37,18601700,-1.86
370.5,373.99,368.28,369.67,8748030,0.35
369.37,382.84,358.45,376.45,22946500,1.83
376.15,387.6,372.14,375.49,15375600,-0.26
375.51,382.53,373.31,378.05,9194440,0.68
378.25,383.66,376.67,379.24,11763000,0.31
379.25,384.04,377.86,381.32,12364100,0.55
381.72,383.03,374.35,375.01,13340100,-1.65
375.72,378.65,367.76,369.6,14529600,-1.44
369.44,379.19,365.76,376.85,15181800,1.96
376.76,378.45,370.95,374.79,7009320,-0.55
374.84,376.29,373.27,375.1,6491650,0.08
374.96,376.03,361.89,361.91,18898700,-3.52
361.89,363.07,344.95,352.22,32915500,-2.68
352.2,352.38,346.36,346.36,16427700,-1.66
344.34,361.36,338.76,350.51,32431300,1.2
350.83,352.98,349.29,352.54,16989800,0.58
352.38,352.38,346.59,347.38,11675900,-1.46
346.73,353.32,345.42,351.63,12415200,1.22
351.36,351.82,344.93,345.35,17264200,-1.79
345.67,345.86,327.06,327.06,30864900,-5.3
326.86,333.95,315.15,319.78,37567900,-2.23
319.79,323.71,304.23,311.4,39173000,-2.62
311.18,318.53,306.77,317.84,23823100,2.07
317.62,330.33,316.04,329.96,20856700,3.81
329.54,329.63,318.9,320.84,15207600,-2.76
